gene_symbol,RED,pvalue,p_adj,padj,APAreg,APAreg2,gene_label
DHX57,-0.292306399073471,0.1181266106767,0.44971898798733,0.389524730805159,NC,NC,no
DHX9,-0.0957165942862863,0.510390252012597,0.782084392031139,0.808634393597818,NC,NC,no
DIAPH1,-0.140531357080175,0.281325121915614,0.622733556993526,0.607967721420927,NC,NC,no
DICER1,0.0354343426139865,0.50278496440851,0.776592865235294,0.834327233272875,NC,NC,no
DIDO1,0.0114957437185166,0.939990898970522,0.979568327085155,0.987585740284438,NC,NC,no
DIEXF,0.137713864127293,0.51894937467405,0.788157839135186,0.802485452192436,NC,NC,no
DIO2,-1.58113062110855,0.0312377723146987,0.265855900225219,0.284218091578823,NC,NC,no
DIP2B,-0.106577458015127,0.200941117899692,0.541278969634944,0.622333199402779,NC,NC,no
DIP2C,-0.0135574931170366,0.763688799302327,0.912494413957184,0.933906457140678,NC,NC,no
DIRAS1,0.0692320540019103,0.531510295543997,0.794294546283319,0.833563208775434,NC,NC,no
DIRAS2,0.0842972104466077,0.470480595071053,0.757019270824507,0.755904620422368,NC,NC,no
DIRC2,0.0550201173978202,0.593202645034814,0.834251043197442,0.89251181286706,NC,NC,no
DIXDC1,0.072080783199455,0.224517075472306,0.565119598235789,0.711055674685099,NC,NC,no
DKC1,0.401685929336187,0.340417508611148,0.669081022613237,0.679602547254822,NC,NC,no
DKK1,1.0820785811911,0.16675157982237,0.505751259863652,0.407583220221751,NC,NC,no
DKK3,0.408713325043753,0.216493022687752,0.557562001360494,0.399918891180578,NC,NC,no
DLAT,0.38481355888649,0.0287951942308086,0.261556347596512,0.172326990629483,NC,NC,no
DLC1,-0.106731158200679,0.539369033590663,0.798860671970196,0.887079269129551,NC,NC,no
DLG1,-0.244707411772134,0.621072077663074,0.846321858071357,0.873003656719184,NC,NC,no
DLG2,0.148435989371825,0.761190888461187,0.912064509512517,0.978367565853007,NC,NC,no
DLG3,0.266201236264581,0.0660824677266872,0.355193279508674,0.20049847067782,NC,NC,no
DLG4,1.84568509180572,0.00122759644684077,0.0837927819349582,4.10457163839816e-29,UP,distal,no
DLG5,0.196416655583114,0.267174256511336,0.610032100348957,0.546624700102988,NC,NC,no
DLGAP3,0.302682701533156,0.663886351722703,0.869433419954778,0.788735689943686,NC,NC,no
DLGAP4,-0.0243251481520166,0.667719915849541,0.870751997753359,0.902735436010006,NC,NC,no
DLK1,0.342157403787064,0.448982211958396,0.747000296541464,0.891669608261307,NC,NC,no
DLL3,2.47963898579253,0.00283416226319289,0.106808721461285,0.000101143912160092,UP,distal,no
DLST,0.158175034679877,0.39093662666668,0.708492647369484,0.694390424988126,NC,NC,no
DMAC1,0.563716080208337,0.015211840694484,0.206863515010401,0.00565614486954232,UP,distal,no
DMAC2,-0.0975413170081226,0.400049062344458,0.713229190369619,0.866705554495195,NC,NC,no
DMD,0.0884537122087736,0.850049984159967,0.948120357068861,0.980076512806947,NC,NC,no
DMRTA1,-1.03132538273634,0.167748098658656,0.506263468084876,0.44467241612831,NC,NC,no
DMWD,-0.054843715707835,0.535907875509014,0.797127939403242,0.886085480013145,NC,NC,no
DMXL1,0.101009584048375,0.625538516162804,0.848093719222527,0.875306116254424,NC,NC,no
DMXL2,0.864858363807361,0.127165556804667,0.460617571554736,0.366756290407431,NC,NC,no
DNAAF5,0.539530030546224,0.171540951223889,0.510015794973248,0.364356161038476,NC,NC,no
DNAJA1,0.0660403055761301,0.144817414613903,0.479006247684175,0.532320778409902,NC,NC,no
DNAJA2,0.491056490269407,0.0236907997841467,0.245614563544881,0.00176978084449546,UP,distal,no
DNAJA4,-0.261951816001385,0.471341346161564,0.757600131318066,0.824115950081911,NC,NC,no
