gene_id,gene_name,fisher_APA_sig,fisher_padj,APA_log2FC_plotting,deg_log2FC,deg_padj,deg_sig,coordinated_change,text_label
ENSG00000186812,ZNF397,longer,8.64437504939758e-10,0.903525011570439,0.269764370315985,1.9780969750675e-05,no,no,no
ENSG00000186834,HEXIM1,longer,4.67846414129864e-16,0.335865568127445,-0.0174463375275983,0.888236292410987,no,no,no
ENSG00000186908,ZDHHC17,longer,1.73796945140209e-13,0.516157826062569,0.379417193047864,6.70740326949083e-17,no,no,no
ENSG00000187134,AKR1C1,shorter,8.2898030099547e-12,-1.38459472186365,0.109408225720424,0.1213828269226,no,no,no
ENSG00000187147,RNF220,longer,9.95744053986855e-31,0.116230329173103,-0.0101708705786287,0.909812211416698,no,no,no
ENSG00000187164,SHTN1,longer,2.34826317427635e-45,1.93940041236577,0.0334396807174753,0.636829719080901,no,no,no
ENSG00000187189,TSPYL4,longer,1.65299373017366e-05,0.197187277991263,0.168177843265521,4.64345151203729e-06,no,no,no
ENSG00000187257,RSBN1L,longer,1.93043177828074e-11,0.374034766131049,0.155581780043308,0.00409232093386536,no,no,no
ENSG00000187446,CHP1,longer,7.16847990646748e-05,0.134195400016214,0.65666123434105,2.00322738288483e-30,up,longer,no
ENSG00000187514,PTMA,longer,0.0166995054144758,0.262388789890267,0.0318658025601605,0.56798708061982,no,no,no
ENSG00000187555,USP7,longer,1.70837567107269e-27,0.386675520737285,0.280230075184817,1.07833708045502e-05,no,no,no
ENSG00000187609,EXD3,longer,1.59812295474598e-14,2.93420045841761,0.863601323693166,3.87707379898369e-09,up,longer,no
ENSG00000187624,C17orf97,longer,2.32099017883396e-27,2.91367726771309,-0.157137229932006,0.460249768671329,no,no,no
ENSG00000187626,ZKSCAN4,longer,3.67165547473351e-08,1.94218906613158,-0.346018053173992,0.000984990045728664,no,no,no
ENSG00000187682,ERAS,shorter,0.000860522645322326,-1.34971607063223,0.00373159614939827,0.991952724284628,no,no,no
ENSG00000187954,ZFTRAF1,longer,1.96406534206196e-162,1.90740783529223,0.28815133500965,4.04808687438838e-06,no,no,no
ENSG00000188026,RILPL1,longer,1.49568069987704e-05,0.628073167982436,0.52384958527434,6.81371438947903e-08,no,no,no
ENSG00000188070,ZFTA,longer,2.49778006827626e-26,0.107638400350924,-0.0519844965444193,0.319282338835974,no,no,no
ENSG00000188295,ZNF669,longer,3.92329157129888e-05,0.279181313205883,-0.178843163060615,0.0360942997063583,no,no,no
ENSG00000188342,GTF2F2,longer,0.00116427261894595,0.184068481517271,-0.0762714110788342,0.282274245670477,no,no,no
ENSG00000188483,IER5L,longer,0.000574862663750514,0.300711045672686,-0.30114675746303,0.00916272372135361,no,no,no
ENSG00000188542,DUSP28,longer,0.0111682760931002,0.915575949592871,-0.284227420788107,0.126186785939469,no,no,no
ENSG00000188559,RALGAPA2,shorter,0.0440249849379583,-0.318097580668101,0.579215751014555,2.42287513923131e-10,no,no,no
ENSG00000188566,NDOR1,longer,3.63010923283238e-09,0.280114047834468,-0.266270742351981,0.105371935096255,no,no,no
ENSG00000188706,ZDHHC9,longer,0.00122233086944817,0.171720367364925,-0.111916902302197,0.175685648991294,no,no,no
ENSG00000188725,SMIM15,longer,2.2024542535897e-09,0.77637980896482,0.181963942004261,0.0184667881190039,no,no,no
ENSG00000188730,VWC2,longer,0.0012489150008114,0.361245266829959,-1.02065777843841,1.29209923311209e-27,dn,longer,no
ENSG00000188803,SHISA6,longer,0.000190728018256614,0.313733510046025,-1.77700970509253,1.90115736506558e-142,dn,longer,no
ENSG00000188827,SLX4,longer,6.59133889112997e-14,2.00457338299165,0.0606743174451667,0.358068032279279,no,no,no
ENSG00000188846,RPL14,longer,1.19005306302265e-67,1.34227590832724,-0.269861873515623,2.43537747049204e-16,no,no,no
ENSG00000188859,FAM78B,longer,0.00725073436566539,0.732669903271501,-0.50738647874993,4.2767749564688e-18,no,no,no
