groupID,Gene_Name,APA_direction,APA_sig,pvalue_up,pvalue_down,padj_up,padj_down,log2FC,padj,pvalue,FC_text_label,gene_label
ENSG00000108306,FBXL20,distal,no,0.216071537301536,0.863293583708516,1,1,0.243579750117469,1,0.216071537301536,no,no
ENSG00000108312,UBTF,distal,no,0.0127486142980867,0.0143846306286049,0.617891381432394,0.655421648295525,1.04905045120807,0.617891381432394,0.0127486142980867,no,no
ENSG00000108406,DHX40,proximal,no,0.667074617225282,0.678684384302226,1,1,-0.136257793308117,1,0.667074617225282,no,no
ENSG00000108424,KPNB1,proximal,no,0.499624581581556,0.695062419848816,1,1,-0.421460046754207,1,0.499624581581556,no,no
ENSG00000108439,PNPO,proximal,no,0.0057105376812545,0.0163481345085788,0.417258605573482,0.685025921228529,-0.520617377540846,0.417258605573482,0.0057105376812545,no,no
ENSG00000108443,RPS6KB1,proximal,no,0.588319662963969,0.259318814598282,1,1,-0.117172300701522,1,0.259318814598282,no,no
ENSG00000108474,PIGL,distal,no,0.110252619697883,0.116823460692078,1,1,0.345498382195488,1,0.110252619697883,no,no
ENSG00000108510,MED13,proximal,no,0.904500044603289,0.770136021413307,1,1,-0.525345103374739,1,0.770136021413307,no,no
ENSG00000108528,SLC25A11,distal,no,0.455279217399644,0.100893964227377,1,1,0.0495149942237774,1,0.100893964227377,no,no
ENSG00000108559,NUP88,distal,no,0.63384020039632,0.336767433325496,1,1,1.16188509519387,1,0.336767433325496,no,no
ENSG00000108561,C1QBP,proximal,no,0.0639068983852111,0.5516201491505,1,1,-2.02206926270323,1,0.0639068983852111,no,no
ENSG00000108582,CPD,proximal,no,0.723392412309148,0.335302876168087,1,1,-2.03129524245337,1,0.335302876168087,no,no
ENSG00000108587,GOSR1,distal,no,0.659883727734353,0.596210909180299,1,1,0.137453572505574,1,0.596210909180299,no,no
ENSG00000108588,CCDC47,proximal,no,0.611038191232303,0.959723646968928,1,1,-1.06113302257146,1,0.611038191232303,no,no
ENSG00000108590,MED31,distal,no,0.338220926044049,0.249276129442329,1,1,0.415986130623339,1,0.249276129442329,no,no
ENSG00000108591,DRG2,distal,no,0.461062789083244,0.460311559191898,1,1,0.0390907448464164,1,0.460311559191898,no,no
ENSG00000108599,AKAP10,distal,no,0.212101969274026,0.456617876372428,1,1,1.14166438600307,1,0.212101969274026,no,no
ENSG00000108654,DDX5,distal,no,0.939428784500515,0.939257095965618,1,1,0.00850045828162394,1,0.939257095965618,no,no
ENSG00000108666,C17orf75,proximal,no,0.671652930759759,0.553634429430003,1,1,-0.0351274199500136,1,0.553634429430003,no,no
ENSG00000108671,PSMD11,distal,no,0.669327421233773,0.708567465862116,1,1,0.109879192386206,1,0.669327421233773,no,no
ENSG00000108774,RAB5C,distal,no,0.183090864029081,0.122773599057362,1,1,0.566598393060669,1,0.122773599057362,no,no
ENSG00000108788,MLX,distal,no,0.247566967793982,0.817220068704519,1,1,0.451695117729769,1,0.247566967793982,no,no
ENSG00000108797,CNTNAP1,distal,no,0.383532519736303,0.439714440554121,1,1,0.358337019769433,1,0.383532519736303,no,no
ENSG00000108840,HDAC5,distal,no,0.827755752483106,0.795652848669249,1,1,0.203386474491331,1,0.795652848669249,no,no
ENSG00000108848,LUC7L3,distal,no,0.9003053936867,0.694547846568411,1,1,0.0052129997055701,1,0.694547846568411,no,no
ENSG00000108852,MPP2,distal,no,0.840844358262193,0.863632559111967,1,1,0.596152312560859,1,0.840844358262193,no,no
ENSG00000108861,DUSP3,proximal,no,0.309467640162505,0.467170383956478,1,1,-3.99019145180955,1,0.309467640162505,no,no
ENSG00000108883,EFTUD2,distal,no,0.861176405079262,0.646374427256361,1,1,0.412219293337689,1,0.646374427256361,no,no
ENSG00000108924,HLF,distal,no,0.0163777282538071,0.517688604590203,0.685025921228529,1,16.9868422723152,0.685025921228529,0.0163777282538071,no,no
ENSG00000108950,FAM20A,distal,no,0.298424467571791,0.333159297949118,1,1,0.834382254316179,1,0.298424467571791,no,no
ENSG00000108953,YWHAE,distal,no,0.405890623094656,0.477058164546074,1,1,0.340160654127566,1,0.405890623094656,no,no
ENSG00000108984,MAP2K6,proximal,no,0.340847227820415,0.376009770634361,1,1,-0.868699861819401,1,0.340847227820415,no,no
ENSG00000109046,WSB1,distal,no,0.0236180369107148,0.756826809879041,0.749328835538962,1,1.65563639715535,0.749328835538962,0.0236180369107148,no,no
ENSG00000109084,TMEM97,proximal,no,0.0827633241989618,0.354237381100648,1,1,-1.06156198333726,1,0.0827633241989618,no,no
ENSG00000109099,PMP22,distal,no,0.353524457682624,0.415649363423072,1,1,3.63799834862338,1,0.353524457682624,no,no
ENSG00000109111,SUPT6H,proximal,no,0.656852012012863,0.506261468103997,1,1,-0.921829703488918,1,0.506261468103997,no,no
ENSG00000109133,TMEM33,distal,no,0.333529400449585,0.851970262131576,1,1,3.25816693965846,1,0.333529400449585,no,no
ENSG00000109171,SLAIN2,proximal,no,0.254027652598344,0.303391671153572,1,1,-16.7505108518857,1,0.254027652598344,no,no
ENSG00000109180,OCIAD1,distal,no,0.655714602484297,0.382239914530895,1,1,0.0833192459983874,1,0.382239914530895,no,no
ENSG00000109184,DCUN1D4,distal,no,0.477179817714778,0.624379201968375,1,1,1.95987488679711,1,0.477179817714778,no,no
ENSG00000109189,USP46,distal,no,0.614746077087225,0.681694840674916,1,1,0.108245796799304,1,0.614746077087225,no,no
ENSG00000109265,CRACD,proximal,no,0.28837554228742,0.250199541049366,1,1,-0.440682793487525,1,0.250199541049366,no,no
ENSG00000109270,LAMTOR3,distal,no,0.577506031898703,0.0798517428786065,1,1,0.67360496928413,1,0.0798517428786065,no,no
ENSG00000109320,NFKB1,proximal,no,0.238140040481242,0.924076356221334,1,1,-14.6453552767265,1,0.238140040481242,no,no
ENSG00000109332,UBE2D3,proximal,no,0.601326563354426,0.569596029856882,1,1,-0.02275392687213,1,0.569596029856882,no,no
