Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,APA_sig,RNA_change
SENP6,3625.95077742124,-0.0344012984668394,0.0542135359970281,0.510145096502786,0.73649388787247,distal,NC
SFRP2,170.242273646029,-0.0349010673572619,0.194112673299204,0.776056422949718,0.901093598645217,proximal,NC
SIN3A,1319.75037547069,0.144910396995075,0.108980630921522,0.139408478816954,0.350493369223831,proximal,NC
SIRT1,418.908075488114,0.0255531360001756,0.112547828677147,0.805740398961312,0.916135670767181,proximal,NC
SLC24A4,2519.98565378583,1.12921002426779,0.134522122193053,1.79952861359048e-18,5.27449894234176e-16,proximal,Increased
SLC39A13,323.847865932001,-0.0550046036117212,0.114292551008655,0.588778779107069,0.792436273326339,proximal,NC
SLC6A11,134.639160638916,-0.136777575632774,0.150009039020562,0.263607360207974,0.512902144036876,distal,NC
SMIM13,671.365647015433,-0.15218716571941,0.125924815874317,0.158550619252481,0.379663097290602,proximal,NC
SRI,501.172160334961,-0.19833569991685,0.111056498516761,0.0471790821753294,0.168363222925517,distal,NC
STAM,879.290707986056,-0.0247212491684727,0.101114020342385,0.787067344546812,0.906998138450102,proximal,NC
STK17A,648.3489459122,0.144165528707841,0.0853547101801526,0.0724708545201553,0.226153287949596,distal,NC
SYN2,4225.19485212142,-0.223819678675141,0.0769248962715955,0.00214808918505524,0.0164717592409663,distal,Decreased
SYNGR1,2705.59105808966,-0.267982149312505,0.100216459352778,0.00364567404484143,0.0247000804476975,proximal,Decreased
TCF25,2196.23299696155,-0.0633599020729607,0.0780534171844109,0.408489308121133,0.653090697132851,distal,NC
THUMPD2,361.144891308093,-0.0965412794298669,0.133771438101426,0.39530016581109,0.64167714454347,distal,NC
TPCN1,931.115487551241,-0.229690580378208,0.0996901605622337,0.0120779072802264,0.0619769906373361,distal,Decreased
TSPYL4,3045.32249277984,-0.327144072196697,0.121160815075514,0.00241305103966352,0.0180661442306185,distal,Decreased
TTLL1,132.082390805903,0.122840900710885,0.165775493208655,0.338048906829303,0.591096468018329,distal,NC
TULP4,2966.5569159534,-0.11527775020314,0.0592623984509522,0.0542272500675686,0.186011307742692,distal,NC
TXNDC17,116.513901381236,-0.0962305772581052,0.172940770602659,0.476250209276752,0.709932239092277,distal,NC
UNC13C,2516.04713912274,-0.123358192087405,0.117543477888224,0.233856684985981,0.47808406965863,distal,NC
VWA1,50.0975239908212,0.0874937481800662,0.233068283015417,0.448758857039703,0.687035515748527,distal,NC
XK,286.487051210881,-0.0806054187011337,0.162528903188417,0.519834190799478,0.743897386790072,proximal,NC
YARS2,263.756512675054,0.0303245097005515,0.129152425017156,0.787324098161633,0.907097133452517,proximal,NC
ZFYVE16,2870.6088086537,-0.316017794221581,0.0862749291872109,7.65108110375009e-05,0.00103227509842808,proximal,Decreased
ZNF200,157.342862051213,-0.177241723178598,0.226065346405008,0.200764267116508,0.438262414143396,proximal,NC
ZNF511,107.831697693503,-0.0980286763796258,0.182475105332043,0.4580227908792,0.695104448785605,distal,NC
ZNF592,1125.04005480987,0.105580356338308,0.11146965382568,0.292251024492286,0.545035671318092,proximal,NC
